,,,,,,
,,,,,,
Repeat Analyses,1,2,3,4,5,6
1,120.3,245.1,454.1,668.7,919.6,1332
2,121.8,242.7,471,711.1,946.9,1255
3,114.8,241.3,467,753,901.7,1426
4,110.1,242.2,496.8,723,949.2,1355
5,119.6,241.4,480.6,720.7,955.8,1404
6,108,247.7,475.6,705.6,996.5,1389
Average,,,,,,
Standard Deviation (SD),,,,,,
Relative Standard Deviation (%RSD),,,,,,
Average - No Outliers,,,,,,
Standard Deviation (SD) - No Outliers,,,,,,
Relative Standard Deviation (%RSD) - No Outliers,,,,,,
